Release 8.1i - Fit L.33
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 9-25-2012 10:21AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  main.ngd
output file: main_pad.csv
Part type:   xc95288xl
Speed grade: -6
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,VCC,,VCCIO,,,,,,,,,,
P2,A_CPU<15>,I,I/O/GTS3,INPUT,,,,,,,,,
P3,A_CPU<14>,I,I/O/GTS4,INPUT,,,,,,,,,
P4,A_CPU<13>,I,I/O,INPUT,,,,,,,,,
P5,A_CPU<12>,I,I/O/GTS1,INPUT,,,,,,,,,
P6,A_CPU<11>,I,I/O/GTS2,INPUT,,,,,,,,,
P7,A_CPU<10>,I,I/O,INPUT,,,,,,,,,
P8,VCC,,VCCINT,,,,,,,,,,
P9,A_CPU<9>,I,I/O,INPUT,,,,,,,,,
P10,A_CPU<8>,I,I/O,INPUT,,,,,,,,,
P11,A_CPU<7>,I,I/O,INPUT,,,,,,,,,
P12,A_CPU<6>,I,I/O,INPUT,,,,,,,,,
P13,A_CPU<5>,I,I/O,INPUT,,,,,,,,,
P14,A_CPU<4>,I,I/O,INPUT,,,,,,,,,
P15,A_CPU<3>,I,I/O,INPUT,,,,,,,,,
P16,A_CPU<2>,I,I/O,INPUT,,,,,,,,,
P17,A_CPU<1>,I,I/O,INPUT,,,,,,,,,
P18,GND,,GND,,,,,,,,,,
P19,A_CPU<0>,I,I/O,INPUT,,,,,,,,,
P20,D_CPU<7>,I/O,I/O,BIDIR,,,,,,,,,
P21,D_CPU<6>,I/O,I/O,BIDIR,,,,,,,,,
P22,D_CPU<5>,I/O,I/O,BIDIR,,,,,,,,,
P23,D_CPU<4>,I/O,I/O,BIDIR,,,,,,,,,
P24,D_CPU<3>,I/O,I/O,BIDIR,,,,,,,,,
P25,D_CPU<2>,I/O,I/O,BIDIR,,,,,,,,,
P26,D_CPU<1>,I/O,I/O,BIDIR,,,,,,,,,
P27,D_CPU<0>,I/O,I/O,BIDIR,,,,,,,,,
P28,M1_CPU,I,I/O,INPUT,,,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,CLK_OSC,GCK,I/O/GCK1,,,,,,,,,,
P31,MEM_REQ_CPU,I,I/O,INPUT,,,,,,,,,
P32,TIE,,I/O/GCK2,,,,,,,,,,
P33,RD_CPU,I,I/O,INPUT,,,,,,,,,
P34,WR_CPU,I,I/O,INPUT,,,,,,,,,
P35,IO_REQ_CPU,I,I/O,INPUT,,,,,,,,,
P36,GND,,GND,,,,,,,,,,
P37,VCC,,VCCIO,,,,,,,,,,
P38,CLK_CPU,GCK/I,I/O/GCK3,,,,,,,,,,
P39,RFSH_CPU,I,I/O,INPUT,,,,,,,,,
P40,HALT_CPU,I,I/O,INPUT,,,,,,,,,
P41,WAIT_CPU,I/O,I/O,BIDIR,,,,,,,,,
P42,VCC,,VCCINT,,,,,,,,,,
P43,BUS_REQ_CPU,I/O,I/O,BIDIR,,,,,,,,,
P44,INT_CPU,I/O,I/O,BIDIR,,,,,,,,,
P45,BUS_ACK_CPU,I,I/O,INPUT,,,,,,,,,
P46,IEI_CPU,I,I/O,INPUT,,,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,NMI_CPU,I/O,I/O,BIDIR,,,,,,,,,
P49,PIO<0>,I/O,I/O,BIDIR,,,,,,,,,
P50,PIO<1>,I/O,I/O,BIDIR,,,,,,,,,
P51,PIO<2>,I/O,I/O,BIDIR,,,,,,,,,
P52,PIO<3>,I/O,I/O,BIDIR,,,,,,,,,
P53,PIO<4>,I/O,I/O,BIDIR,,,,,,,,,
P54,PIO<5>,I/O,I/O,BIDIR,,,,,,,,,
P55,VCC,,VCCIO,,,,,,,,,,
P56,PIO<6>,I/O,I/O,BIDIR,,,,,,,,,
P57,PIO<7>,I/O,I/O,BIDIR,,,,,,,,,
P58,DEBUG_6,O,I/O,OUTPUT,,,,,,,,,
P59,DEBUG_7,O,I/O,OUTPUT,,,,,,,,,
P60,DEBUG_8,O,I/O,OUTPUT,,,,,,,,,
P61,DEBUG_9,O,I/O,OUTPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,DEBUG_10,O,I/O,OUTPUT,,,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,rsv_300,I,I/O,INPUT,,,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,SWITCH<2>,I,I/O,INPUT,,,,,,,,,
